pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,22.717,0.02297
Radial Velocity,94.2,0.034
Radial Velocity,2247.0,0.34
Radial Velocity,2093.3,1.0
Transit,6.03607,0.05223
Radial Velocity,3.83492,0.066
Radial Velocity,4682.0,14.6
Radial Velocity,672.09998,16.64
Radial Velocity,1728.0,0.2
Radial Velocity,2266.4,1.118
Radial Velocity,3724.7,1.45
Radial Velocity,218.47,3.18
Radial Velocity,456.1,3.09
Transit,14.2767,0.19
Radial Velocity,22482.0,9.7
Radial Velocity,1173.0,1.61
Radial Velocity,871.0,1.56
Radial Velocity,3999.0,2.12
Radial Velocity,572.38,8.37
Radial Velocity,1189.1,5.97
Radial Velocity,26.6904,0.7
Radial Velocity,528.07,13.65
Radial Velocity,730.59998,2.61
Radial Velocity,1211.17,1.527
Radial Velocity,141.63,1.13
Radial Velocity,192.0,6.575
Radial Velocity,2058.0,1.78
Transit,17.667,0.05638
Transit,29.625,0.05405
Radial Velocity,1561.0,9.03
Radial Velocity,4100.0,6.0
Radial Velocity,501.75,5.21
Radial Velocity,745.70001,15.89
Radial Velocity,3668.0,3.86
Radial Velocity,535.59998,12.89
Radial Velocity,2.0455,0.03713
Radial Velocity,6019.32,4.48
Radial Velocity,1802.29,0.915
Radial Velocity,3.4442,0.42
Transit,4.12688,1.17
Radial Velocity,42.378,0.02665
Radial Velocity,428.1,1.56
Radial Velocity,2198.14,1.494
Radial Velocity,18.02,0.665
Radial Velocity,36.07,0.162
Radial Velocity,5174.0,5.415
Radial Velocity,379.0,5.9
Radial Velocity,1116.0,1.16
Radial Velocity,6.0881,0.98
Radial Velocity,8.7836,0.026
Radial Velocity,380.2,1.542
Radial Velocity,1362.3,2.4
Radial Velocity,2443.0,2.43
Radial Velocity,311.60001,1.37
Radial Velocity,2527.83,8.622
Radial Velocity,11613.0,7.6
Radial Velocity,1157.0,1.22
Radial Velocity,1684.0,0.47
Radial Velocity,847.0,1.547
Radial Velocity,466.0,0.62
Radial Velocity,16.5535,0.0329
Radial Velocity,51.2053,0.0445
Radial Velocity,271.6737,0.0372
Transit,8.509,0.02171
Radial Velocity,157.54,3.04
Radial Velocity,2372.0,0.7
Radial Velocity,3.38773,0.48
Radial Velocity,326.0,1.385
Radial Velocity,834.0,5.97
Transit,18.71204,0.244
Radial Velocity,18.1991,0.329
Radial Velocity,388.0,9.1
Radial Velocity,551.40002,2.01
Radial Velocity,916.0,1.75
Radial Velocity,1049.0,0.82
Radial Velocity,214.67,0.168
Radial Velocity,117.87,0.097
Radial Velocity,49.175,0.0529
Radial Velocity,676.8,0.119
Radial Velocity,5700.0,0.38
Radial Velocity,82.467,3.76
Radial Velocity,62.25,0.228
Radial Velocity,154.378,0.675
Radial Velocity,885.5,0.652
Radial Velocity,1862.0,0.696
Radial Velocity,55.01292,2.69
Radial Velocity,2720.0,3.19
Radial Velocity,363.20001,0.4
Radial Velocity,14.30944,0.797
Radial Velocity,2136.1,12.99
Radial Velocity,685.25,9.698
Radial Velocity,2093.07,10.02
Radial Velocity,3.2498,0.02674
Radial Velocity,4.3123,0.0126
Radial Velocity,9.6184,0.0208
Radial Velocity,20.432,0.0299
Radial Velocity,51.76,0.0164
Radial Velocity,197.8,0.0223
Radial Velocity,578.6,2.7
Radial Velocity,264.14999,4.67
Radial Velocity,963.0,2.54
Radial Velocity,1.3283,18.37
Radial Velocity,526.62,1.56
Radial Velocity,857.5,1.6
Radial Velocity,431.88,2.23
Radial Velocity,6700.0,2.17
Radial Velocity,832.97,0.81
Radial Velocity,149.61,0.04531
Radial Velocity,15.56,0.05
Radial Velocity,356.21,1.927
Radial Velocity,327.8,0.6
Radial Velocity,36.9987,2.55
Radial Velocity,472.3,0.58
Radial Velocity,5.8854,0.0384
Radial Velocity,13.1354,0.0277
Radial Velocity,963.6,1.79
Radial Velocity,226.93,0.1872
Radial Velocity,342.85,0.6579
Radial Velocity,44.073,0.433
Radial Velocity,3.023573,0.226
Radial Velocity,4.0845,0.07
Radial Velocity,1353.6,0.35061
Radial Velocity,360.2,2.37
Radial Velocity,2732.0,2.37
Radial Velocity,359.15,2.3
Radial Velocity,682.85,1.88
Radial Velocity,712.13,7.32
Radial Velocity,778.51,1.525
Radial Velocity,400.5,1.615
Radial Velocity,4.94737,0.1
Radial Velocity,2447.1,1.636
Radial Velocity,8619.9,2.93
Radial Velocity,1293.0,4.954
Radial Velocity,14.0726,0.0402
Radial Velocity,95.9446,0.045
Radial Velocity,119.27,1.21
Radial Velocity,637.1,1.556
Radial Velocity,872.2,1.053
Radial Velocity,1827.0,3.87
Radial Velocity,139.35,5.78
Radial Velocity,779.9,1.681
Radial Velocity,492.3,0.33
Radial Velocity,177.11,7.63
Radial Velocity,299.36,6.92
Radial Velocity,201.9,1.06
Radial Velocity,600.1,2.51
Radial Velocity,589.64,2.3
Radial Velocity,2.81805,0.25
Radial Velocity,358.0,0.53
Radial Velocity,45.791,0.056
Radial Velocity,21.998,0.49
Radial Velocity,577.6,1.295
Radial Velocity,5370.0,2.03
Radial Velocity,480.5,6.0
Radial Velocity,2263.12,3.204
Radial Velocity,352.2,3.06
Radial Velocity,2374.0,4.85
Radial Velocity,2496.0,1.68
Radial Velocity,1103.0,3.07
Radial Velocity,6.27711,1.97
Radial Velocity,8.667,0.0321
Radial Velocity,31.56,0.0371
Radial Velocity,197.0,0.057
Radial Velocity,851.8,6.1
Radial Velocity,2124.54,1.993
Radial Velocity,615.0,0.27
Transit,858.0,1.768
Radial Velocity,3658.0,3.85
Radial Velocity,39.475,5.45
Radial Velocity,1245.36,3.097
Radial Velocity,188.3,3.08
Radial Velocity,379.1,2.25
Radial Velocity,1750.0,1.112
Radial Velocity,51.645,1.8
Radial Velocity,2473.0,8.06
Radial Velocity,1255.5,0.508
Radial Velocity,3.50927,0.49
Radial Velocity,341.2,1.0
Radial Velocity,7900.0,5.64
Radial Velocity,422.9,2.71
Radial Velocity,3.97097,0.21
Radial Velocity,415.4,3.93
Radial Velocity,5.7361,0.06
Radial Velocity,5.39792,0.02
Radial Velocity,15.299,0.02473
Radial Velocity,24.451,0.02026
Radial Velocity,1807.0,1.34
Radial Velocity,111.4367,4.38
Transit,0.719573,0.01762
Radial Velocity,1001.70001,7.27
Radial Velocity,184.02,2.7
Radial Velocity,1047.1,27.1
Radial Velocity,705.0,2.33
Radial Velocity,441.47,1.681
Radial Velocity,220.078,1.959
Radial Velocity,158.991,0.20955
Radial Velocity,2.9857,0.34
Radial Velocity,1313.0,0.68
Radial Velocity,799.52,0.099
Radial Velocity,58.43,0.01
Radial Velocity,227.0,2.03
Radial Velocity,2.1378431,1.48
Radial Velocity,1628.0,0.45
Transit,3.98442,0.02281
Radial Velocity,1475.0,7.0
