pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,84.28800000,0.20734
Radial Velocity,1854.40000000,20.30000
Radial Velocity,5.75999000,0.00572
Radial Velocity,7.28243000,0.00541
Radial Velocity,10.86499000,0.00881
Radial Velocity,25.19670000,0.00905
Radial Velocity,3.93404000,0.02000
Radial Velocity,567.94000000,0.33000
Radial Velocity,1311.00000000,1.26000
Radial Velocity,1334.28000000,2.22300
Radial Velocity,35.45000000,0.03228
Radial Velocity,154.43000000,0.02970
Radial Velocity,148.60001000,1.05000
Radial Velocity,118.45000000,0.57000
Radial Velocity,22.67860000,0.02590
Radial Velocity,53.73570000,0.05470
Radial Velocity,7.12682000,1.30000
Radial Velocity,4270.00000000,2.60000
Transit,7.78993000,0.01164
Radial Velocity,1319.00000000,13.00000
Radial Velocity,3501.30000000,21.60000
Radial Velocity,225.70000000,0.20000
Radial Velocity,5501.00000000,10.39000
Radial Velocity,3.09292600,0.01491
Radial Velocity,6.76458000,0.01372
Radial Velocity,46.85900000,0.05088
Radial Velocity,22.71700000,0.02297
Radial Velocity,94.20000000,0.03400
Radial Velocity,2247.00000000,0.34000
Radial Velocity,2093.30000000,1.00000
Transit,6.03607000,0.05223
Radial Velocity,3.83492000,0.06600
Radial Velocity,4682.00000000,14.60000
Radial Velocity,672.09998000,16.64000
Radial Velocity,1728.00000000,0.20000
Radial Velocity,2266.40000000,1.11800
Radial Velocity,3724.70000000,1.45000
Radial Velocity,218.47000000,3.18000
Radial Velocity,456.10000000,3.09000
Transit,14.27670000,0.19000
Radial Velocity,22482.00000000,9.70000
Radial Velocity,1173.00000000,1.61000
Radial Velocity,871.00000000,1.56000
Radial Velocity,3999.00000000,2.12000
Radial Velocity,572.38000000,8.37000
Radial Velocity,1189.10000000,5.97000
Radial Velocity,26.69040000,0.70000
Radial Velocity,528.07000000,13.65000
Radial Velocity,730.59998000,2.61000
Radial Velocity,1211.17000000,1.52700
Radial Velocity,141.63000000,1.13000
Radial Velocity,192.00000000,6.57500
Radial Velocity,2058.00000000,1.78000
Transit,17.66700000,0.05638
Transit,29.62500000,0.05405
Radial Velocity,1561.00000000,9.03000
Radial Velocity,4100.00000000,6.00000
Radial Velocity,501.75000000,5.21000
Radial Velocity,745.70001000,15.89000
Radial Velocity,3668.00000000,3.86000
Radial Velocity,535.59998000,12.89000
Radial Velocity,2.04550000,0.03713
Radial Velocity,6019.32000000,4.48000
